University,Location,Mission,Tuition,TuitionIS,UndergradEnroll,Choice
Baptist Missionary Association Theological Seminary,"Jacksonville, TX","""The purpose of the Seminary's divisions of undergraduate and graduate studies is to provide accredited undergraduate and graduate theological education for equipping individuals for Christian service and leadership roles; to support the educational needs of the churches and agencies of the Baptist Missionary Association of America and other groups who share a like commitment to the authority of Scripture; and to serve as a resource center for critical thought and research in a context which nurtures the historical, doctrinal character of the churches of the Baptist Missionary Association of America.""",14700,5550,9,0
Baptist University of the Americas,"San Antonio, TX","The mission of Baptist University of the Américas, as an institution of higher education, is the formation, from the Hispanic context, of cross-cultural Christian leaders.",15610,5520,23,0
Barclay College,"Haviland, KS","Barclay College prepares students in a Bible centered environment for effective Christian life, service, and leadership.  To accomplish this mission, Barclay College has been established as a baccalaureate-level Christian institution of higher education which challenges students to explore, understand, and acquire the skills necessary to respond to the call of God upon their lives.",28990,12500,49,0
Bay de Noc Community College,"Escanaba, MI","Bay College cultivates an environment of learning, growth, and opportunity through an unwavering commitment to the success of our learners and communities.",17286,6006,369,0
Beacon College,"Leesburg, FL","Beacon College is an accredited liberal arts institution of higher education, which uniquely serves the educational needs of students with learning disabilities, Attention Deficit Hyperactivity Disorder, and other learning differences.",53722,36172,63,0
Be'er Yaakov Talmudic Seminary,"Spring Valley, NY","Be'er Yaakov Talmudic Seminary seeks to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that, by its own definition, is good and moral.",17540,9140,132,0
Beis Medrash Heichal Dovid,"Far Rockaway, NY","Beis Medrash Heichal Dovid was founded to provide post-high school Jewish Education for men based on the great traditions of Eastern European yeshivos in an inclusive, supportive, welcoming environment. Beis Medrash Heichal Dovid sees the establishment of such an institution in the Far Rockaway area as a vital contribution to the spiritual life of that community, and will, through its policies and programs, endeavor to serve the post-secondary educational needs of Jewish families in Far Rockaway and The Five Towns, as well as of any qualified student who exhibits a sincere desire to devote himself to Torah study.",17700,9200,37,0
Bellevue University,"Bellevue, NE","Bellevue University effectively engages students in earning awards and degrees that prepare them to thrive in a connected, competitive world. We provide motivated students a powerful foundation for personal value creation, instilling the confidence they need to take control of their lives and be responsible citizens of the global community.  We teach the value of a free market, capitalist economic system and the importance of preserving our American heritage of a democratic and free way of life.",17814,6840,32,0
Benedictine University,"Lisle, IL","Mission Statement  Benedictine University is an inclusive academic community dedicated to teaching and learning, scholarship and service, truth and justice, as inspired by the Catholic intellectual tradition, the social teaching of the Church, and the principles of wisdom in the Rule of St. Benedict.",45430,30108,554,0
Bennington College,"Bennington, VT","Bennington regards education as a sensual and ethical, no less than an intellectual, process. It seeks to liberate and nurture the individuality, the creative intelligence, and the ethical and aesthetic sensibility of its students, to the end that their richly varied natural endowments will be directed toward self-fulfillment and toward constructive social purposes. We believe that these educational goals are best served by demanding of our students active participation in the planning of their own programs, and in the regulation of their own lives on campus. Student freedom is not the absence of restraint, however; it is rather the fullest possible substitution of habits of self-restraint for restraint imposed by others. The exercise of student freedom is the very condition of a meaningful education, and an essential aspect of the nurture of free citizens, dedicated to civilized values and capable of creative and constructive membership in modern society.",68420,49440,179,0
Bet Medrash Gadol Ateret Torah,"Brooklyn, NY","Bet Medrash Gadol Ateret Torah seeks to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that, by its own definition, is good and moral.",16800,9000,24,0
Beth Hamedrash Shaarei Yosher Institute,"Brooklyn, NY","Beth HaMedrash Shaarei Yosher Institute seeks to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish thought.",17000,8850,11,0
Beth Medrash Meor Yitzchok,"Monsey, NY","Beth Medrash Meor Yitzchok seeks to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that, by its own definition, is good and moral.",18100,8000,52,0
Beth Medrash of Asbury Park,"Lakewood, NJ","BETH MEDRASH OF ASBURY PARK seeks to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that, by its own definition, is good and moral.",16300,9100,2,0
Bethany College,"Lindsborg, KS","The mission of Bethany College is to educate, develop, and challenge individuals to reach for truth and excellence as they lead lives of faith, learning and service.",42090,26010,194,0
Bethel University,"McKenzie, TN","Bethel's mission is to create opportunities for members of the learning community to develop to their highest potential as whole persons--intellectually, spiritually, socially, and physically--in a Christian environment.",31262,9305,397,0
Beulah Heights University,"Atlanta, GA",The mission of Beulah Heights University is to develop relevant Christian leaders for the ministry and marketplace.,20410,9090,15,0
Bloomfield College,"Bloomfield, NJ","To prepare students to attain academic, personal  and professional excellence in a multicultural  and global society.",44546,28600,479,0
Blue Mountain College,"Blue Mountain, MS","Blue Mountain College assists students in developing intellectual integrity, academic excellence, civility, and Christian character.",20951,9518,110,0
Boise Bible College,"Boise, ID",Boise Bible College glorifies God by equipping servant leaders who build up the church to advance the gospel worldwide.,25900,11250,31,0
Boston Baptist College,"Boston, MA","Mission Statement The mission of Boston Baptist College is to educate men and women in the academic capacities necessary  to serve in the domestic and international ministries of Baptist churches, particularly those affiliated with  the Baptist Bible Fellowship International; to grant Associate in Science Degrees in Biblical Studies,  Bachelor of Biblical Studies Degrees, and appropriate certificates to students; to provide, purchase, own,  encumber, sell, rent, lease and maintain personal property, both tangible and intangible, and real  property; to maintain educational buildings and institutions for teaching and training ministers,  missionaries, and Christian workers; and to engage in any activity permitted under Massachusetts General  Law Ch. 180.",26691,11400,11,0
Bradford School,"Columbus, OH","Bradford School, a post-secondary institution, is dedicated to preparing diverse, motivated students for graduation and entry-level jobs in specialized careers through accelerated and comprehensive education. Students will develop a foundation for long-term career advancement and future learning through an understanding of problem solving, communication, and critical thinking.",24926,13980,114,0
Bradford School,"Pittsburgh, PA","The mission of Bradford School is to provide to young men and women career education and training that can be completed in as short a time as practical, yet be thorough enough to ensure a good entry-level job and a solid base for future progress in a selected career field.",28376,15380,159,0
Brevard College,"Brevard, NC","Brevard College is committed to an experiential liberal arts education that encourages personal growth and inspires artistic, intellectual, and social action.",40784,27550,230,0
Brown University,"Providence, RI","The mission of Brown University is to serve the community, the nation, and the world by discovering, communicating, and preserving knowledge and understanding in a spirit of free inquiry, and by educating and preparing students to discharge the offices of life with usefulness and reputation. We do this through a partnership of students and teachers in a unified community known as a university-college.",68106,50224,1441,0
Butler Community College,"El Dorado, KS","Butler County Community College exists to develop responsible, involved lifelong learners and to contribute to the vitality of the community it serves.",12403,2340,1988,1
Cairn University-Langhorne,"Langhorne, PA","Cairn University exists to educate students to serve Christ in the church, society, and the world as biblically minded, well-educated, and professionally competent men and women of character.",37865,24946,142,0
California College of the Arts,"San Francisco, CA","California College of the Arts educates students to shape culture through the practice and critical study of the arts. The college prepares its students for lifelong creative work and service to their communities through a curriculum in fine art, architecture, design and writing.",62636,44976,146,0
California Institute of Technology,"Pasadena, CA","The mission of the California Institute of Technology is to expand human knowledge and benefit society through research integrated with education. We investigate the most challenging, fundamental problems in science and technology in a singularly collegial, interdisciplinary atmosphere, while educating outstanding students to become creative members of society.",66774,45846,206,0
California Lutheran University,"Thousand Oaks, CA","The mission of California Lutheran University is to educate leaders for a global society who are strong in character and judgment, confident in their identity and vocation, and committed to service and justice.",57912,39310,627,0
California State University-Channel Islands,"Camarillo, CA","Placing students at the center of the educational experience, California State University Channel Islands provides undergraduate and graduate education that facilitates learning within and across disciplines through integrative approaches, emphasizes experiential and service learning, and graduates students with multicultural and international perspectives.",27445,5472,1007,1
California State University-Stanislaus,"Turlock, CA","The faculty, staff, administrators, and students of California State University, Stanislaus are committed to creating a learning environment which encourages all members of the campus community to expand their intellectual, creative, and social horizons.  We challenge one another to realize our potential, to appreciate and contribute to the enrichment of our diverse community, and to develop a passion for lifelong learning.  To facilitate this mission, we promote academic excellence in the teaching and scholarly activities of our faculty, encourage personalized student learning, foster interactions and partnerships with our surrounding communities, and provide opportunities for the intellectual, cultural, and artistic enrichment of the region.",19826,5472,1386,1
Calvary University,"Kansas City, MO","Calvary University is an independent, nondenominational institution, providing undergraduate and graduate education which prepares Christians to live and serve in the church and the world according to a biblical worldview. This is accomplished by providing appropriate educational curricula and a climate that fosters the development of intellectual and spiritual maturity, leadership potential, servanthood, and a sense of mission.",19234,10500,32,0
Campbellsville University,"Campbellsville, KY","Campbellsville University is a comprehensive, Christian institution that offers pre-professional, undergraduate and graduate programs. The university is dedicated to academic excellence solidly grounded in the liberal arts that fosters personal growth, integrity and professional preparation within a caring environment. The university prepares students as Christian servant leaders for life-long learning, continued scholarship, and active participation in a diverse, global society.",38272,24096,534,0
Carl Albert State College,"Poteau, OK","To provide affordable, accessible and exceptional education that fosters student success.",12189,2177,575,0
Carson-Newman University,"Jefferson City, TN",Our mission as Christian educators is to help our students reach their full potential as educated citizens and worldwide servant-leaders.,39760,25200,493,0
Carver Bible College,"Atlanta, GA","Carver College exists to glorify God by educating students to reach the world for Christ by serving the church, the community and the world as biblically minded professionally competent men and women of character.",22513,9960,4,0
Castleton University,"Castleton, VT","Castleton, the 18th oldest institution of higher education in the United States, emphasizes undergraduate liberal arts and professional education while also offering selected graduate programs.  The University is dedicated to the intellectual and personal growth of students through excellence in teaching, close student-faculty interaction, numerous opportunities for outside-the-classroom learning, and an active and supportive campus community. Castleton strives to learn, use, and teach sustainable practices. The University prepares its graduates for meaningful careers; further academic pursuits; and engaged, environmentally responsible citizenship.  As a member of the Vermont State Colleges, Castleton is committed to supporting and improving the region's communities, schools, organizations, businesses, and environment.",23706,10248,462,0
Centenary University,"Hackettstown, NJ","Centenary College is an inclusive and collaborative learning community dedicated to preparing its students to enter society as professional and global citizens by providing experiences that foster skills of critical thought and purposeful action. The Centenary experience is distinguished by a fundamental belief in the full potential of each student, a strong liberal arts foundation, career preparation, and a culture of service to the community and to the world.",47717,30696,188,0
Central Baptist College,"Conway, AR",Central Baptist College is committed to transforming lives through education that integrates Christian faith and academic excellence in a Christ-centered environment.,26104,13500,124,0
Central Christian College of the Bible,"Moberly, MO",Central Christian College of the Bible exists to develop servant-leaders for the church.,24210,7500,53,0
Central Methodist University-College of Liberal Arts and Sciences,"Fayette, MO","""Central Methodist University prepares students to make a difference in the world by emphasizing academic and professional excellence, ethical leadership, and social responsibility.""",36760,22280,255,0
Central State University,"Wilberforce, OH","Mission:  Central State University, an 1890 Land-Grant institution, prepares students with diverse backgrounds and experiences for leadership, research and service. The University fosters academic excellence within a nurturing environment and provides a strong liberal arts foundation leading to professional careers and advanced studies.",18880,3926,623,1
Central Yeshiva Tomchei Tmimim Lubavitz,"Brooklyn, NY","CENTRAL YESHIVA TOMCHEI TMIMIM LUBAVITZ seeks to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that, by its own definition, is good and moral.",13200,6700,26,0
Chapman University,"Orange, CA","To provide personalized education of distinction that leads to inquiring, ethical and productive lives as global citizens.",66578,48310,1439,0
Cincinnati Christian University,"Cincinnati, OH","The mission of Cincinnati Christian University is Cincinnati Christian University exists to develop selfless, well-rounded leaders who follow Christ and positively impact their community, country, and world.",30746,15966,199,0
Cisco College,"Cisco, TX","The mission of Cisco College is to provide high-quality learning opportunities that promote student success in an ever-changing global environment.   Cisco College seeks to encourage life-long learning and enhance the quality of life in the communities it serves by maintaining an open-door admissions policy and providing a comprehensive array of learning, service, and life experiences that will motivate and challenge students. In order to meet the needs of a diverse constituency, the College offers a variety of programs and courses in academic higher education, workforce development, and personal growth development. Faculty participate in continued professional development with a commitment to research and innovation as a basis for curriculum development. Associate's degrees designed for transfer to a university, associate's degrees and certificates designed for direct entry into the workforce, and opportunities for job skills continuing education and personal life enrichment are all a part of the dynamic offerings found at Cisco College. Support services complement the focus on learning and assist the faculty in helping students pursue their educational goals at Cisco College. Developmental studies designed to help students prepare for college-level course work and a variety of student success programs are instrumental in providing students with a strong foundation for achieving their goals.   As a member of the Texas state system of publicly supported institutions of higher education, Cisco College provides the educational programs and supporting activities prescribed by the Texas Legislature, the Texas Higher Education Coordinating Board, and the Cisco College Board of Regents. The College seeks to be effective in accomplishing its mission by employing an institutional effectiveness program of learning, assessment, planning, evaluation, and improvement activities.",15638,4710,1008,0
City University of Seattle,"Seattle, WA",To change lives for good by offering high quality and relevant lifelong education to anyone with the desire to learn,29396,16748,17,0
Clarendon College,"Clarendon, TX","Clarendon College is a comprehensive community college committed to teaching, learning and providing access  to opportunities that assist in the holistic  development of its constituents and community. In  pursuit of this mission the college provides academic  transfer programs, career/technical education, student services, developmental education programs, continuing education/community service courses through a variety  of instructional methodology, including but not  limited to: face to face, distance education, and  hybrid delivery. Clarendon College strives to provide  diverse cultural enrichment opportunities for its  constituents.",12852,1128,390,0
Clark Atlanta University,"Atlanta, GA","Clark Atlanta University is an urban research university characterized by a focus on the intellectual and personal development of each student. Leveraging its distinctive history, the mission of Clark Atlanta University is to transform the lives of students and their communities by preparing citizen leaders to be problem-solvers through innovative learning programs; supportive interactions with faculty, staff, and students; exemplary scholarship; and purposeful service.",37761,19880,989,0
Clear Creek Baptist Bible College,"Pineville, KY",Clear Creek Baptist Bible College exists to provide educational preparation for adults called of God into Christian service.,16609,6480,7,0
Clinton College,"Rock Hill, SC","Mission Statement   Clinton College was founded in 1894 by the African Methodist Episcopal (AME) Zion Church as a private liberal arts institution.  The College is committed to facilitating students’ academic achievement, moral and spiritual growth, leadership development, and citizenship in a global society.  (Revised March 7, 2013)",19645,5094,108,0
Cloud County Community College,"Concordia, KS","Mission Statement  Cloud County Community College is dedicated to delivering high quality, innovative, affordable, and accessible educational opportunities and services that prepare a diverse population to be critical thinkers and lifelong learners who can meet the challenges of an ever-changing global community.  To assure the delivery of this mission, Cloud County Community College is directed by valid and reliable assessment techniques, which measure the effectiveness and efficiency of all departments in the delivery of curriculum and services in support of student academic success.  Vision Cloud County Community College strives to enrich the lives of our students and the communities we serve.",11320,2220,324,0
Cochise County Community College District,"Douglas, AZ","Cochise College provides accessible educational opportunities that are responsive to a diverse population and lead to constructive citizenship, meaningful careers and lifelong learning.",11967,1896,718,1
Coffeyville Community College,"Coffeyville, KS","Coffeyville Community College is dedicated to identifying and addressing community and area needs, providing accessible, affordable quality education and training, and promoting opportunities for lifelong learning.",11254,1120,431,1
Coker College,"Hartsville, SC","Coker College is a student-centered, comprehensive college.  It is dedicated to providing every student enrolled in the Day Program and in the Adult Degree Program an academic curriculum based upon a uniformly excellent liberal arts core that enhances the structured development of key personal skills.    The College's goal is to graduate students with the ability to think analytically and creatively, and to write and speak effectively.  Experiences both in and out of the classroom are focused on active student involvement and the practical application of academic knowledge that lead to lifelong learning.    Coker measures its success by the personal and professional accomplishments enjoyed by all members of the academic community.",38718,27624,249,0
Colby Community College,"Colby, KS",The mission of Colby Community College is engaging others in learning and service opportunities to positively affect their world.,13290,2100,249,0
College of St Joseph,"Rutland, VT","The College of St. Joseph is an independent Catholic college that educates men and women of varied faiths and backgrounds for lives of continuing personal and professional growth, intellectual development, and service to the community.",37400,21750,53,0
College of the Siskiyous,"Weed, CA","MISSION College of the Siskiyous promotes learning and provides academic excellence for the students of Siskiyou County, the State of California, the nation and the world. COS provides accessible, flexible, affordable, and innovative education leading to associate degrees, certificates, college transfer, career and technical education, workforce training, and basic skills preparation.",14113,1104,323,0
Commonwealth Technical Institute,"Johnstown, PA",The mission of the Commonweatlh Technical Institute at the Hiram G. Andrews Center (CTI@HGA) is to offer quality individualized post-secondary education which provides career opportunities and independent life skills.,33706,16836,113,0
Concordia College Alabama,"Selma, AL","Concordia College Alabama, one of ten postsecondary institutions in the Concordia University System of the Lutheran Church-Missouri Synod, is an historically black, four-year, coeducational college.  Its mission is to prepare students through Christ-centered education for lives of responsible service in the Church, community, and the world.  To this end, the college envisions itself a diverse, global institution of excellence, and a leader in developing intellectual, spiritual, and moral leaders of Christ-centered justice.",27620,9920,137,0
Concordia College-New York,"Bronxville, NY","Concordia College, New York, a college of The Lutheran Church--Missouri Synod, engages and nurtures a diverse student body in a Christ-centered, value-oriented, liberal arts education for lives of service to church and community.",45177,29350,109,0
Concordia University-Saint Paul,"Saint Paul, MN","The mission of Concordia University, St. Paul, a university of the Lutheran Church-Missouri Synod, is to prepare students for thoughtful and informed living, for dedicated service to God and humanity, and for the enlightened care of God's creation, all within the context of the Christian Gospel.",33750,21250,235,0
Concordia University-Texas,"Austin, TX","The mission of Concordia University Texas is ""Developing Christian Leaders.""",43510,28700,278,0
Concordia University-Wisconsin,"Mequon, WI","Concordia University Wisconsin is a Lutheran higher education community committed to helping students develop in mind, body, and spirit for service to Christ in the Church and in the World.",42580,27640,477,0
Converse College,"Spartanburg, SC","The primary mission of Converse College, founded in 1889, is the liberal education of undergraduate women in a residential setting. Converse reaffirms the founder's original conviction that a small undergraduate residential college of the liberal arts is a uniquely powerful environment for developing the talents of women. As a community of scholars, where students and faculty pursue excellence and collaborate in the search for truth, Converse develops in students scholarly excellence, personal honor, confidence, and skills to be life-long learners. The College draws much of its character from its Christian heritage and welcomes students of all faiths. Converse expands its mission by offering graduate degrees and other programs for women and men. Ultimately, graduates embody the qualities of a Converse education as they assume roles of leadership, service, and citizenship.",33200,16000,236,0
Copiah-Lincoln Community College,"Wesson, MS","The mission of Copiah-Lincoln Community College is to provide educational programs, economic development services, cultural and recreational opportunities through quality instruction and high expectations and service in a safe, student-centered environment.",10180,2390,727,0
Cornerstone University,"Grand Rapids, MI",Cornerstone University exists to empower men and women to excel as influencers in our world for Christ by offering a student-focused learning community where Jesus Christ is central.,39560,26490,270,0
Corning Community College,"Corning, NY","Corning Community College serves life-long learners in our region by providing access to high-quality, affordable transfer, career, and workforce development educational opportunities. Our learning environment fosters diversity, empowerment, leadership, and teamwork for academic, professional, and personal success. We collaborate locally and promote global awareness for social, environmental, and economic sustainability.",16896,4314,723,0
Cottey College,"Nevada, MO","Cottey College, an independent liberal arts and sciences college, educates women to be contributing members of a global society through a challenging curriculum and a dynamic campus experience.  In our diverse and supportive environment, women develop their potential for personal and professional lives of intellectual engagement and thoughtful action as learners, leaders, and citizens.",30100,18400,86,0
